||SasView Model||SasView Description||SasView Parameters||SasFit Model||SasFit Description||SasFit Parameters||
||hardsphere||    [Hard sphere structure factor, with Percus-Yevick closure]         Interparticle S(Q) for random, non-interacting spheres.     May be a reasonable approximation for other shapes of     particles that freely rotate, and for moderately polydisperse         systems. Though strictly the maths needs to be modified -     which sasview does not do yet.     radius_effective is the hard sphere radius     volfraction is the volume fraction occupied by the spheres. ||radius_effective, Ang, 50.0, [0, inf], volume, effective radius of hard sphere, volfraction, , 0.2, [0, 0.74], , volume fraction of hard spheres|| || || ||
 || || || ||RLCAggregation||F ^ 2(Q,Rg,D,I0) = I0 (sum\[C_i (Q ^ 2Rg ^ 2) ^ 2i\]) ^ -D/8 C_1=0, C_1=8/(3D), C_2=3.13, C_3=-2.58, C_4=0.95||RG, , 10.0, [-inf, inf], , Rg: radius of gyratio, D, , 0.0, [-inf, inf], , D: fractal dimensio, I0, , 0.0, [-inf, inf], , I0: forward scattering||
 || || || ||DoubleShell_withSD||F ^ 2(Q,R,s,...) analytical expression for spherical double shells with a size distributio||R, , 10.0, [-inf, inf], , R: mean radius of core, s, , 0.0, [-inf, inf], , s: width of size distributio, c1, , 0.0, [-inf, inf], , eta_c: scattering length density of core, c2, , 1.0, [-inf, inf], , eta_1: scattering length density of first shell, c3, , 0.0, [-inf, inf], , eta_2: scattering length density of second shell, cm, , 0.0, [-inf, inf], , eta_m: scattering length density of matrix, d1, , 0.0, [-inf, inf], , d_1: thickness of first shell, d2, , 0.0, [-inf, inf], , d_2: thickness of second shell||
 || || || ||homogenousXS||P(Q,L,eta) = ||L, , 10.0, [-inf, inf], , L: layer thickness, D, , 0.0, [-inf, inf], , D: diameter of planar object, eta, , 0.0, [-inf, inf], , eta: scattering contrast||
 || || || ||Rod||Formfactor of very long cylindrical block copolymer micelles||L, , 10.0, [-inf, inf], , Vpolym_core: molecular volume of the block in the core 
in nm\^3 if Q in nm\^-1, in A\^3 if Q in A\^-1, eta, , 1.0, [-inf, inf], , eta_brsh: (bulk) scattering length density of block unit in shell||
 || || || ||DLCAggregation||F ^ 2(Q,Rg,D,I0) = I0 (sum\[C_i (Q ^ 2Rg ^ 2) ^ 2i\]) ^ -D/8 C_1=0, C_1=8/(3D), C_2=2.5, C_3=-1.52, C_4=1.02||RG, , 10.0, [-inf, inf], , Rg: radius of gyratio, D, , 0.0, [-inf, inf], , D: fractal dimensio, I0, , 0.0, [-inf, inf], , I0: forward scattering||
 || || || ||TwoInfinitelyThinPlates||P(Q,L,I0) =||L, , 10.0, [-inf, inf], , L: layer distance, D, , 0.0, [-inf, inf], , D: diameter of planar object, I0, , 0.0, [-inf, inf], , I0: forward scattering||
 || || || ||PolydisperseStar||F ^ 2(Q,Rg,f,eta) = I0*(2/(f*v*v)*(-1+v+exp(-v)+(f-1)*pow(1-exp(-v),2)/2)) with u=Rg*Rg*Q*Q and v=u*f/(3*f-2)||Rg, , 10.0, [-inf, inf], , Rg: radius of gyratio, f, , 0.0, [-inf, inf], , f: number of branches, EMPTY, , 0.0, [-inf, inf], , , I0, , 1.0, [-inf, inf], , I0: forward scattering||
 || || || ||MassFractExp||F ^ 2(Q,Rg,D,I0) = I0 sin((D-1)atan(Q*xi)) / ((D-1) Q xi (1+Q ^ 2xi ^ 2) ^ ((D-1)/2)) with xi ^ 2 = 2Rg ^ 2/(D(D+1))||RG, , 10.0, [-inf, inf], , Rg: radius of gyration (xi^2=2Rg^2/(D(D+1))), D, , 0.0, [-inf, inf], , D: fractal dimensio, I0, , 0.0, [-inf, inf], , I0: forward scattering, Q, , 1.0, [-inf, inf], , ||
 || || || ||BiLayerGauss||P(Q,...) = ||sigma_out, , 10.0, [-inf, inf], , sigma_out: , b_out, , 0.0, [-inf, inf], , b_out:, sigma_core, , 0.0, [-inf, inf], , sigma_core:, b_core, , 1.0, [-inf, inf], , b_core:, t, , 0.0, [-inf, inf], , t: distance between bilayer centres, D, , 0.0, [-inf, inf], , D: diameter of planar object||
 || || || ||LayeredCentroSymmetricXS||P(Q,...) = ||t_out, , 10.0, [-inf, inf], , L_out: , t_core, , 0.0, [-inf, inf], , L_core:, b_out, , 0.0, [-inf, inf], , b_out, b_core, , 1.0, [-inf, inf], , b_core:, D, , 0.0, [-inf, inf], , D: diameter of planar object||
 || || || ||BenoitStar||F ^ 2(Q,Rg,f,eta) = I0*(2/(f*v*v)*(-1+v+exp(-v)+(f-1)*pow(1-exp(-v),2)/2)) with u=Rg*Rg*Q*Q and v=u*f/(3*f-2)||Rg, , 10.0, [-inf, inf], , Rg: radius of gyratio, f, , 0.0, [-inf, inf], , f: number of branches, EMPTY, , 0.0, [-inf, inf], , , I0, , 1.0, [-inf, inf], , I0: forward scattering||
